,Asuminen,Palvelut,t
2022-01-12 12:00:00,920.5970758683147,2374.7224570294597,-3295.3195328977745
2022-01-12 13:00:00,907.899185166683,2374.7224570294597,-3282.6216421961426
2022-01-12 14:00:00,897.3176095819896,2431.6702377735714,-3328.987847355561
2022-01-12 15:00:00,914.248130517499,2374.7224570294597,-3288.970587546959
2022-01-12 16:00:00,929.0623363360695,2408.8911254759264,-3337.953461811996
2022-01-12 17:00:00,979.8538991425972,2329.16423243417,-3309.0181315767672
2022-01-12 18:00:00,971.3886386748427,2340.553788582992,-3311.942427257835
2022-01-12 19:00:00,990.4354747272905,2249.437339392414,-3239.8728141197043
2022-01-12 20:00:00,973.5049537917812,2146.9313340530125,-3120.4362878447937
2022-01-12 21:00:00,918.4807607513762,2107.067887532134,-3025.5486482835104
2022-01-12 22:00:00,878.2707735295419,1919.1402110765655,-2797.4109846061074
2022-01-12 23:00:00,651.8250560171057,1850.8028741836317,-2502.6279302007374
2022-01-13 00:00:00,480.18597820048114,1539.4140074628074,-2019.5999856632884
2022-01-13 01:00:00,493.06452933995763,1573.4073767127747,-2066.4719060527323
2022-01-13 02:00:00,498.5839083997332,1675.387484462677,-2173.9713928624105
2022-01-13 03:00:00,537.2195618181628,1753.086614176888,-2290.3061759950506
2022-01-13 04:00:00,660.4856941531522,2185.288023212187,-2845.773717365339
2022-01-13 05:00:00,938.2944401618596,2534.9341069261372,-3473.228547087997
2022-01-13 06:00:00,916.216923922757,2656.338997104592,-3572.555921027349
2022-01-13 07:00:00,861.0231333250007,2695.188561961698,-3556.2116952866986
2022-01-13 08:00:00,883.1006495641033,2515.5093244975847,-3398.609974061688
2022-01-13 09:00:00,873.9016844644772,2369.8234562834386,-3243.7251407479157
2022-01-13 10:00:00,851.8241682253746,2282.411935354951,-3134.2361035803256
2022-01-13 11:00:00,829.746651986272,2180.431827605049,-3010.178479591321
2022-01-13 12:00:00,826.0670659464215,2097.8765022836997,-2923.943568230121
2022-01-13 13:00:00,807.6691357471694,2068.7393286408706,-2876.40846438804
2022-01-13 14:00:00,805.8293427272441,2073.5955242480086,-2879.424866975253
2022-01-13 15:00:00,815.0283078268702,2039.6021549980414,-2854.630462824912
2022-01-13 16:00:00,848.1445821855241,2063.8831330337325,-2912.0277152192566
2022-01-13 17:00:00,873.9016844644772,2015.3211769623504,-2889.2228614268274
2022-01-13 18:00:00,884.9404425840283,1995.8963945337973,-2880.836837117826
2022-01-13 19:00:00,877.5812705043276,1908.4848736053102,-2786.0661441096377
2022-01-13 20:00:00,849.9843752054493,1767.6552009983027,-2617.639576203752
2022-01-13 21:00:00,778.2324474283658,1602.5445503556039,-2380.77699778397
2022-01-13 22:00:00,700.9611405915069,1485.9958557842872,-2186.956996375794
2022-01-13 23:00:00,513.302252559135,1476.283464570011,-1989.585717129146
2022-01-14 00:00:00,448.54646989307355,1343.4609753836105,-1792.007445276684
2022-01-14 01:00:00,460.57645184422876,1387.0798382207408,-1847.6562900649697
2022-01-14 02:00:00,465.73215839472385,1456.870018760149,-1922.6021771548728
2022-01-14 03:00:00,501.82210424818953,1522.2983130158443,-2024.120417264034
2022-01-14 04:00:00,616.9662172092467,1897.4205334151636,-2514.3867506244105
2022-01-14 05:00:00,876.4701135841666,2294.3521852330487,-3170.822298817215
2022-01-14 06:00:00,855.8472873821862,2390.3136834747356,-3246.1609708569217
2022-01-14 07:00:00,804.2902218772352,2429.5706600281524,-3233.8608819053875
2022-01-14 08:00:00,824.9130480792156,2281.26652638191,-3106.1795744611254
2022-01-14 09:00:00,816.3202038283905,2154.771824154232,-2971.0920279826223
2022-01-14 10:00:00,795.6973776264101,2071.8959847636847,-2867.5933623900946
2022-01-14 11:00:00,775.0745514244297,1980.2963728057114,-2755.370924230141
2022-01-14 12:00:00,771.6374137240997,1897.4205334151636,-2669.0579471392634
2022-01-14 13:00:00,754.4517252224493,1879.972988280312,-2634.4247135027613
2022-01-14 14:00:00,752.7331563722843,1875.6111019965986,-2628.344258368883
2022-01-14 15:00:00,761.3260006231094,1849.4397842943206,-2610.76578491743
2022-01-14 16:00:00,792.2602399260801,1845.0778980106077,-2637.338137936688
2022-01-14 17:00:00,816.3202038283905,1840.7160117268945,-2657.036215555285
2022-01-14 18:00:00,826.6316169293807,1801.4590351734776,-2628.0906521028583
2022-01-14 19:00:00,819.7573415287205,1714.221309499217,-2533.9786510279378
2022-01-14 20:00:00,793.978808776245,1592.0884935552524,-2386.0673023314976
